position,TerrainSlope,lon,lat
0.614419,16.304505,49.187314,-89.78168
0.6163,16.447853,49.186606,-89.781742
0.618182,16.520285,49.185897,-89.781804
0.620064,16.501538,49.185188,-89.781866
0.621945,16.420642,49.184479,-89.781928
0.623827,16.407538,49.183769,-89.78199
0.625708,16.650321,49.183058,-89.782052
0.62759,17.229124,49.182348,-89.782114
0.629471,17.961835,49.181636,-89.782176
0.631353,18.38477,49.180925,-89.782238
0.633235,18.347575,49.180213,-89.7823
0.635116,18.016937,49.179501,-89.782361
0.636998,17.609193,49.178788,-89.782423
0.638879,17.222009,49.178075,-89.782485
0.640761,16.853595,49.177361,-89.782547
0.642643,16.441762,49.176647,-89.782609
0.644524,16.02207,49.175933,-89.782671
0.646406,15.660499,49.175218,-89.782733
0.646787,15.618464,49.175073,-89.782746
0.648668,16.222676,49.158709,-89.782746
0.65055,16.00064,49.142344,-89.782746
0.652432,15.341545,49.12598,-89.782747
0.654313,14.195162,49.109615,-89.782747
0.656195,12.951904,49.09325,-89.782747
0.658076,12.401342,49.076886,-89.782747
0.659958,12.893816,49.060521,-89.782747
0.66184,14.212718,49.044157,-89.782747
0.663721,16.182957,49.027792,-89.782747
0.665603,18.290747,49.011427,-89.782747
0.667484,19.533132,48.995063,-89.782747
0.669366,19.813393,48.978698,-89.782747
0.671248,19.775435,48.962334,-89.782747
0.673129,19.703702,48.945969,-89.782747
0.675011,19.63044,48.929604,-89.782747
0.676892,19.592136,48.91324,-89.782747
0.678774,19.494015,48.896875,-89.782747
0.680655,19.413317,48.88051,-89.782747
0.682537,19.413175,48.864146,-89.782747
0.684419,19.412203,48.847781,-89.782747
0.6863,19.475178,48.831417,-89.782747
0.688182,19.49344,48.815052,-89.782747
0.690063,19.530538,48.798688,-89.782746
0.691945,19.73615,48.782323,-89.782746
0.693827,19.972411,48.765959,-89.782746
0.695708,19.821982,48.749594,-89.782746
0.69759,18.440879,48.73323,-89.782745
0.699471,16.410062,48.716866,-89.782745
0.701353,15.445407,48.700501,-89.782745
0.703235,15.445547,48.684137,-89.782745
0.705116,15.570688,48.667773,-89.782744
0.706998,15.731896,48.651409,-89.782744
0.708879,15.97389,48.635045,-89.782744
0.710761,16.270689,48.618681,-89.782743
0.712642,16.480106,48.602317,-89.782743
0.714524,16.810806,48.585953,-89.782742
0.716406,17.27318,48.569589,-89.782742
0.718287,17.687701,48.553225,-89.782742
0.720169,18.016763,48.536861,-89.782741
0.72205,18.196763,48.520498,-89.782741
0.723932,18.185759,48.504134,-89.78274
0.725814,17.85407,48.48777,-89.78274
0.727695,17.464562,48.471407,-89.782739
0.729577,16.870054,48.455044,-89.782738
0.731458,15.074495,48.43868,-89.782738
0.73334,11.835939,48.422317,-89.782737
0.735222,9.22113,48.405954,-89.782737
0.737103,8.839631,48.389591,-89.782736
0.738985,9.152797,48.373228,-89.782735
0.740866,9.317494,48.356865,-89.782735
0.742748,9.525464,48.340503,-89.782734
0.74463,9.897783,48.32414,-89.782733
0.746511,10.438275,48.307778,-89.782733
0.748393,11.094083,48.291415,-89.782732
0.750274,11.834851,48.275053,-89.782731
0.752156,12.657896,48.258691,-89.78273
0.754037,13.547105,48.242329,-89.78273
0.755919,14.345785,48.225967,-89.782729
0.757801,14.897172,48.209605,-89.782728
0.759682,15.234805,48.193243,-89.782727
0.761564,15.50495,48.176882,-89.782726
0.763445,15.4951,48.16052,-89.782726
0.765327,14.964265,48.144159,-89.782725
0.767209,13.969927,48.127798,-89.782724
0.76909,12.930313,48.111437,-89.782723
0.770972,12.132131,48.095076,-89.782722
0.772853,11.648142,48.078715,-89.782721
