position,TerrainHeight,Sun Visibility 60m,Polar Winter Min Temp,lon,lat
0.3838,1302.46,0.33884,56.902275,45.511705,-89.892963
0.386664,1302.300659,0.33884,56.902275,45.529062,-89.892874
0.389529,1302.21013,0.33884,56.902275,45.546391,-89.892785
0.392393,1302.160867,0.33884,56.902275,45.56369,-89.892697
0.395257,1302.13,0.33884,56.902275,45.580961,-89.892608
0.398121,1302.1115,0.33884,56.902275,45.598204,-89.892519
0.400985,1302.09,0.38884,56.902275,45.615418,-89.89243
0.403849,1302.070827,0.38884,56.902275,45.632603,-89.892342
0.406714,1302.05,0.38884,56.902275,45.649761,-89.892253
0.409578,1302.102231,0.37192,56.902275,45.66689,-89.892164
0.412442,1302.21,0.37192,56.902275,45.683991,-89.892075
0.415306,1302.4,0.37192,56.902275,45.701063,-89.891987
0.41817,1302.761449,0.37192,56.902275,45.718108,-89.891898
0.421035,1303.21,0.37192,56.902275,45.735125,-89.891809
0.423899,1303.680132,0.37192,56.902275,45.752114,-89.89172
0.426763,1304.12,0.37192,56.902275,45.769075,-89.891631
0.429627,1304.530615,0.37192,56.902275,45.786008,-89.891542
0.432491,1304.91,0.37192,56.902275,45.802913,-89.891454
0.435355,1305.26192,0.37192,56.902275,45.819791,-89.891365
0.43822,1305.59184,0.37192,56.902275,45.836641,-89.891276
0.441084,1305.93,0.37192,56.902275,45.853464,-89.891187
0.443948,1306.2721,0.37192,56.902275,45.870259,-89.891098
0.446812,1306.651896,0.37192,56.902275,45.887027,-89.891009
0.449676,1307.09,0.37192,56.902275,45.903768,-89.89092
0.452541,1307.54,0.37192,56.902275,45.920481,-89.890831
0.455405,1307.841492,0.37192,56.902275,45.937167,-89.890742
0.458269,1307.902493,0.37192,56.902275,45.953826,-89.890653
0.461133,1307.862393,0.37192,56.902275,45.970457,-89.890564
0.463997,1307.902216,0.37192,56.902275,45.987062,-89.890475
0.466861,1307.982421,0.37192,56.902275,46.00364,-89.890386
0.469726,1308.13,0.37192,56.902275,46.020191,-89.890297
0.47259,1308.261347,0.37192,56.902275,46.036715,-89.890208
0.475454,1308.14179,0.38284,55.037014,46.053212,-89.890119
0.478318,1307.993093,0.38284,55.037014,46.069683,-89.89003
0.481182,1307.772823,0.38284,55.037014,46.086127,-89.889941
0.484047,1307.56,0.38284,55.037014,46.102544,-89.889852
0.486911,1307.37,0.38284,55.037014,46.118935,-89.889763
0.489775,1307.262155,0.38284,55.037014,46.135299,-89.889674
0.492639,1307.211444,0.38284,55.037014,46.151637,-89.889585
0.495503,1307.06,0.38284,55.037014,46.167949,-89.889496
0.498367,1306.893591,0.38284,55.037014,46.184235,-89.889407
0.501232,1306.642798,0.38284,55.037014,46.200494,-89.889318
0.504096,1306.32,0.38284,55.037014,46.216727,-89.889229
0.50696,1306.05,0.38284,55.037014,46.232934,-89.88914
0.509824,1305.81,0.38284,55.037014,46.249115,-89.889051
0.512688,1305.62,0.38284,55.037014,46.26527,-89.888962
0.515553,1305.46,0.38284,55.037014,46.281399,-89.888872
0.518417,1305.332441,0.38284,55.037014,46.297502,-89.888783
0.521281,1305.2321,0.38284,55.037014,46.313579,-89.888694
0.524145,1305.15,0.38284,55.037014,46.329631,-89.888605
0.527009,1305.08,0.38284,55.037014,46.345657,-89.888516
0.529873,1305.042785,0.38284,55.037014,46.361657,-89.888427
0.532738,1305,0.38284,55.037014,46.377632,-89.888337
0.535602,1304.961738,0.38284,55.037014,46.393581,-89.888248
0.538466,1304.941025,0.38284,55.037014,46.409505,-89.888159
0.54133,1304.922387,0.36168,55.037014,46.425403,-89.88807
0.544194,1304.91,0.37516,55.037014,46.441277,-89.887981
0.547059,1304.9,0.37516,55.037014,46.457124,-89.887891
0.549923,1304.901954,0.37516,55.037014,46.472947,-89.887802
0.552787,1304.91,0.37516,55.037014,46.488745,-89.887713
0.555651,1304.93,0.37516,55.037014,46.504517,-89.887624
0.558515,1304.96,0.37516,55.037014,46.520265,-89.887534
0.561379,1304.99,0.37516,55.037014,46.535987,-89.887445
0.564244,1305.04,0.37516,55.037014,46.551684,-89.887356
0.567108,1305.1,0.37516,55.037014,46.567357,-89.887267
0.569972,1305.191208,0.37516,55.037014,46.583005,-89.887177
0.572836,1305.320611,0.37516,55.037014,46.598628,-89.887088
0.5757,1305.480152,0.37516,55.037014,46.614226,-89.886999
0.578565,1305.670039,0.37516,55.037014,46.6298,-89.886909
0.581429,1305.880068,0.37516,55.037014,46.645349,-89.88682
0.584293,1305.85,0.37516,55.037014,46.660874,-89.886731
0.587157,1305.740441,0.37516,55.037014,46.676374,-89.886641
0.590021,1305.64,0.37516,55.037014,46.69185,-89.886552
0.592885,1305.55,0.37516,55.037014,46.707301,-89.886463
0.59575,1305.52,0.37516,55.037014,46.722728,-89.886373
0.598614,1305.5,0.37516,55.037014,46.738131,-89.886284
0.601478,1305.520542,0.37516,55.037014,46.75351,-89.886195
0.604342,1305.560402,0.37516,55.037014,46.768865,-89.886105
0.607206,1305.620452,0.35484,55.037014,46.784195,-89.886016
0.610071,1305.7,0.35484,55.037014,46.799501,-89.885926
0.612935,1305.810122,0.35484,55.037014,46.814784,-89.885837
0.615799,1305.95,0.35484,55.037014,46.830042,-89.885748
0.618663,1306.119863,0.35484,55.037014,46.845277,-89.885658
0.621527,1306.359755,0.35484,55.037014,46.860488,-89.885569
0.624391,1306.649773,0.35484,55.037014,46.875675,-89.885479
0.627256,1306.98,0.35484,55.037014,46.890838,-89.88539
0.63012,1307.38,0.35484,55.037014,46.905978,-89.8853
0.632984,1307.81,0.35484,55.037014,46.921094,-89.885211
0.635848,1308.29,0.35484,55.037014,46.936187,-89.885121
0.638712,1308.78,0.35484,55.037014,46.951256,-89.885032
0.641577,1309.23,0.35484,55.037014,46.966301,-89.884942
0.644441,1309.520294,0.35484,55.037014,46.981324,-89.884853
0.647305,1309.82,0.35484,55.037014,46.996322,-89.884763
0.650169,1310.14,0.35484,55.037014,47.011298,-89.884674
0.653033,1310.47,0.35484,55.037014,47.02625,-89.884584
0.655897,1310.830041,0.35484,55.037014,47.04118,-89.884495
0.658762,1311.21,0.35484,55.037014,47.056086,-89.884405
0.661626,1311.62,0.35484,55.037014,47.070969,-89.884316
0.66449,1312.059945,0.35484,55.037014,47.085829,-89.884226
0.667354,1312.509885,0.35484,55.037014,47.100666,-89.884137
0.670218,1312.98,0.35484,55.037014,47.11548,-89.884047
0.673082,1313.46,0.40312,55.037014,47.130271,-89.883957
0.675947,1313.899381,0.40312,55.037014,47.145039,-89.883868
0.678811,1314.269837,0.40312,55.037014,47.159785,-89.883778
0.681675,1314.580326,0.40312,55.037014,47.174508,-89.883689
0.684539,1314.85,0.40312,55.037014,47.189208,-89.883599
0.687403,1315.02,0.40312,55.037014,47.203886,-89.883509
0.690268,1315.080839,0.39084,54.183838,47.218541,-89.88342
0.693132,1314.98,0.39084,54.183838,47.233173,-89.88333
0.695996,1314.82,0.39084,54.183838,47.247783,-89.88324
0.69886,1314.71008,0.39084,54.183838,47.262371,-89.883151
0.701724,1314.620131,0.39084,54.183838,47.276936,-89.883061
0.704588,1314.559881,0.39084,54.183838,47.291479,-89.882972
0.707453,1314.529923,0.39084,54.183838,47.306,-89.882882
0.710317,1314.409394,0.39084,54.183838,47.320498,-89.882792
0.713181,1314.228866,0.39084,54.183838,47.334975,-89.882702
0.716045,1314,0.39084,54.183838,47.349429,-89.882613
0.718909,1313.759359,0.39084,54.183838,47.363861,-89.882523
0.721774,1313.499892,0.39084,54.183838,47.378271,-89.882433
0.724638,1313.260327,0.39084,54.183838,47.392659,-89.882344
0.727502,1313.07,0.39084,54.183838,47.407025,-89.882254
0.730366,1312.890742,0.39084,54.183838,47.42137,-89.882164
0.73323,1312.75,0.39084,54.183838,47.435692,-89.882074
0.736094,1312.59,0.39084,53.895317,47.449993,-89.881985
0.738959,1312.42,0.36088,53.895317,47.464272,-89.881895
0.741823,1312.28,0.36088,53.895317,47.478529,-89.881805
0.744687,1312.17,0.36088,53.895317,47.492765,-89.881715
0.747551,1312.08,0.36088,53.895317,47.506979,-89.881626
0.750415,1312.02,0.36088,53.895317,47.521171,-89.881536
0.75328,1311.98,0.36088,53.895317,47.535342,-89.881446
0.756144,1311.97,0.36088,53.895317,47.549492,-89.881356
0.759008,1311.98,0.36088,53.895317,47.56362,-89.881266
0.761872,1312.01,0.36088,53.895317,47.577726,-89.881177
0.764736,1312.020822,0.36088,53.895317,47.591812,-89.881087
0.7676,1312.02,0.36088,53.895317,47.605876,-89.880997
0.770465,1312.17172,0.36088,53.895317,47.619919,-89.880907
0.773329,1312.34,0.36088,53.895317,47.633941,-89.880817
0.776193,1312.5,0.36088,53.895317,47.647942,-89.880727
0.779057,1312.64,0.36088,53.895317,47.661921,-89.880638
0.781921,1312.77,0.36088,53.895317,47.67588,-89.880548
0.784786,1312.89,0.36088,53.895317,47.689817,-89.880458
0.78765,1313,0.36088,53.895317,47.703734,-89.880368
0.790514,1313.12,0.36088,53.895317,47.71763,-89.880278
0.793378,1313.281108,0.36088,53.895317,47.731505,-89.880188
0.796242,1313.472211,0.36088,53.895317,47.745359,-89.880098
0.799106,1313.681441,0.36088,53.895317,47.759192,-89.880008
0.801971,1313.890895,0.36088,53.895317,47.773005,-89.879918
0.804835,1314.090757,0.38752,53.895317,47.786797,-89.879829
0.807699,1314.29,0.38752,53.895317,47.800568,-89.879739
0.810563,1314.481802,0.38752,53.895317,47.814319,-89.879649
0.813427,1314.67,0.38752,53.895317,47.828049,-89.879559
0.816292,1314.86,0.38752,53.895317,47.841759,-89.879469
0.819156,1315.071269,0.38752,53.895317,47.855448,-89.879379
0.82202,1315.32,0.38752,53.895317,47.869117,-89.879289
0.824884,1315.540694,0.38752,53.895317,47.882765,-89.879199
0.827748,1315.72,0.38752,53.895317,47.896394,-89.879109
0.830612,1315.892343,0.38752,53.895317,47.910001,-89.879019
0.833477,1316.050474,0.38752,53.895317,47.923589,-89.878929
0.836341,1316.22,0.37476,53.895317,47.937157,-89.878839
0.839205,1316.392216,0.37476,53.895317,47.950704,-89.878749
0.842069,1316.561422,0.37476,53.895317,47.964231,-89.878659
0.844933,1316.721701,0.37476,53.895317,47.977738,-89.878569
0.847798,1316.912462,0.37476,53.895317,47.991226,-89.878479
0.850662,1317.102357,0.37476,53.895317,48.004693,-89.878389
0.853526,1317.23,0.37476,53.895317,48.01814,-89.878299
0.85639,1317.29,0.37476,53.895317,48.031568,-89.878209
0.859254,1317.33,0.37476,53.895317,48.044975,-89.878119
0.862118,1317.35,0.37476,53.895317,48.058363,-89.878029
0.864983,1317.39,0.37476,53.895317,48.071731,-89.877939
0.867847,1317.411818,0.37476,53.895317,48.085079,-89.877849
0.870711,1317.563431,0.37276,53.895317,48.098408,-89.877759
0.873575,1317.712022,0.37276,53.895317,48.111717,-89.877668
0.876439,1317.790873,0.37276,53.895317,48.125006,-89.877578
0.879304,1317.81,0.37276,53.895317,48.138276,-89.877488
0.882168,1317.78,0.37276,53.895317,48.151527,-89.877398
0.885032,1317.69112,0.37276,53.895317,48.164758,-89.877308
0.887896,1317.6,0.37276,53.895317,48.177969,-89.877218
0.89076,1317.59,0.37276,53.895317,48.191161,-89.877128
0.893624,1317.732629,0.37276,53.895317,48.204334,-89.877038
0.896489,1317.89,0.37276,53.895317,48.217488,-89.876948
0.899353,1318.05,0.37276,53.895317,48.230622,-89.876857
0.902217,1317.991667,0.37276,53.895317,48.243737,-89.876767
0.905081,1317.892235,0.37276,53.895317,48.256833,-89.876677
0.907945,1317.79,0.37276,53.895317,48.269909,-89.876587
0.91081,1317.702399,0.37276,53.895317,48.282967,-89.876497
0.913674,1317.67,0.37276,53.895317,48.296006,-89.876407
0.916538,1317.703594,0.37276,53.895317,48.309025,-89.876316
0.919402,1317.740938,0.37276,53.895317,48.322026,-89.876226
