position,TerrainHeight,Sun Visibility 60m,Polar Summer Max Temp,lon,lat
0.435351,1305.270953,0.37192,245.24826,45.820411,-89.891363
0.438215,1305.6,0.37192,245.24826,45.837259,-89.891275
0.441079,1305.93,0.37192,245.24826,45.854078,-89.891186
0.443943,1306.28,0.37192,245.24826,45.87087,-89.891097
0.446807,1306.66,0.37192,245.24826,45.887635,-89.891008
0.449671,1307.09,0.37192,245.24826,45.904373,-89.890919
0.452535,1307.55,0.37192,245.24826,45.921083,-89.89083
0.4554,1307.852134,0.37192,245.24826,45.937766,-89.890741
0.458264,1307.9,0.37192,245.24826,45.954422,-89.890652
0.461128,1307.86,0.37192,245.24826,45.971051,-89.890563
0.463992,1307.91,0.37192,245.24826,45.987653,-89.890474
0.466856,1307.99179,0.37192,245.24826,46.004228,-89.890385
0.46972,1308.14,0.37192,245.24826,46.020775,-89.890296
0.472585,1308.26,0.37192,245.24826,46.037297,-89.890207
0.475449,1308.15,0.38284,262.816162,46.053791,-89.890118
0.478313,1307.992891,0.38284,262.816162,46.070259,-89.890029
0.481177,1307.77,0.38284,262.816162,46.0867,-89.88994
0.484041,1307.56,0.38284,262.816162,46.103114,-89.889851
0.486905,1307.37,0.38284,262.816162,46.119502,-89.889762
0.489769,1307.26247,0.38284,262.816162,46.135864,-89.889673
0.492634,1307.22,0.38284,262.816162,46.152199,-89.889584
0.495498,1307.06,0.38284,262.816162,46.168508,-89.889495
0.498362,1306.89,0.38284,262.816162,46.18479,-89.889406
0.501226,1306.642243,0.38284,262.816162,46.201046,-89.889317
0.50409,1306.32,0.38284,262.816162,46.217277,-89.889228
0.506954,1306.05,0.38284,262.816162,46.233481,-89.889139
0.509818,1305.81,0.38284,262.816162,46.249659,-89.88905
0.512683,1305.62,0.38284,262.816162,46.265811,-89.88896
0.515547,1305.46,0.38284,262.816162,46.281937,-89.888871
0.518411,1305.33,0.38284,262.816162,46.298037,-89.888782
0.521275,1305.23,0.38284,262.816162,46.314112,-89.888693
0.524139,1305.152882,0.38284,262.816162,46.330161,-89.888604
0.527003,1305.082266,0.38284,262.816162,46.346184,-89.888515
0.529867,1305.042426,0.38284,262.816162,46.362181,-89.888425
0.532732,1305,0.38284,262.816162,46.378153,-89.888336
0.535596,1304.96,0.38284,262.816162,46.3941,-89.888247
0.53846,1304.94,0.38284,262.816162,46.410021,-89.888158
0.541324,1304.921526,0.36168,262.816162,46.425916,-89.888069
0.544188,1304.91,0.37516,262.816162,46.441787,-89.887979
0.547052,1304.901043,0.37516,262.816162,46.457632,-89.88789
0.549917,1304.9,0.37516,262.816162,46.473452,-89.887801
0.552781,1304.92,0.37516,262.816162,46.489246,-89.887712
0.555645,1304.93,0.37516,262.816162,46.505016,-89.887623
0.558509,1304.96,0.37516,262.816162,46.520761,-89.887533
0.561373,1304.99,0.37516,262.816162,46.53648,-89.887444
0.564237,1305.04,0.37516,262.816162,46.552175,-89.887355
0.567101,1305.11,0.37516,262.816162,46.567845,-89.887265
0.569966,1305.2,0.37516,262.816162,46.58349,-89.887176
0.57283,1305.320988,0.37516,262.816162,46.59911,-89.887087
0.575694,1305.48,0.37516,262.816162,46.614706,-89.886998
0.578558,1305.670419,0.37516,262.816162,46.630277,-89.886908
0.581422,1305.88,0.37516,262.816162,46.645823,-89.886819
0.584286,1305.85,0.37516,262.816162,46.661345,-89.88673
0.58715,1305.74,0.37516,262.816162,46.676843,-89.88664
0.590015,1305.64,0.37516,262.816162,46.692316,-89.886551
0.592879,1305.550824,0.37516,262.816162,46.707764,-89.886462
0.595743,1305.52,0.37516,262.816162,46.723189,-89.886372
0.598607,1305.51,0.37516,262.816162,46.738589,-89.886283
0.601471,1305.530948,0.37516,262.816162,46.753965,-89.886193
0.604335,1305.560136,0.37516,262.816162,46.769317,-89.886104
0.6072,1305.620262,0.35484,262.816162,46.784644,-89.886015
0.610064,1305.700315,0.35484,262.816162,46.799948,-89.885925
0.612928,1305.81,0.35484,262.816162,46.815228,-89.885836
0.615792,1305.95,0.35484,262.816162,46.830484,-89.885746
0.618656,1306.12,0.35484,262.816162,46.845716,-89.885657
0.62152,1306.359783,0.35484,262.816162,46.860924,-89.885567
0.624384,1306.65,0.35484,262.816162,46.876108,-89.885478
0.627249,1306.989991,0.35484,262.816162,46.891269,-89.885389
0.630113,1307.39,0.35484,262.816162,46.906406,-89.885299
0.632977,1307.82,0.35484,262.816162,46.921519,-89.88521
0.635841,1308.300079,0.35484,262.816162,46.936609,-89.88512
0.638705,1308.78,0.35484,262.816162,46.951675,-89.885031
0.641569,1309.24,0.35484,262.816162,46.966718,-89.884941
0.644433,1309.530092,0.35484,262.816162,46.981738,-89.884852
0.647298,1309.83,0.35484,262.816162,46.996734,-89.884762
0.650162,1310.14,0.35484,262.816162,47.011707,-89.884673
0.653026,1310.48,0.35484,262.816162,47.026657,-89.884583
0.65589,1310.83,0.35484,262.816162,47.041584,-89.884494
0.658754,1311.22,0.35484,262.816162,47.056487,-89.884404
0.661618,1311.63,0.35484,262.816162,47.071367,-89.884314
0.664482,1312.059934,0.35484,262.816162,47.086225,-89.884225
0.667347,1312.52,0.35484,262.816162,47.101059,-89.884135
0.670211,1312.989784,0.35484,262.816162,47.115871,-89.884046
0.673075,1313.46,0.40312,262.816162,47.130659,-89.883956
0.675939,1313.909805,0.40312,262.816162,47.145425,-89.883867
0.678803,1314.269947,0.40312,262.816162,47.160168,-89.883777
0.681667,1314.58009,0.40312,262.816162,47.174888,-89.883687
0.684532,1314.85,0.40312,262.816162,47.189586,-89.883598
0.687396,1315.03,0.40312,262.816162,47.204261,-89.883508
0.69026,1315.08,0.39084,245.116867,47.218913,-89.883419
0.693124,1314.980619,0.39084,245.116867,47.233543,-89.883329
0.695988,1314.82,0.39084,245.116867,47.248151,-89.883239
0.698852,1314.7,0.39084,245.116867,47.262736,-89.88315
0.701716,1314.62,0.39084,245.116867,47.277299,-89.88306
0.704581,1314.56,0.39084,245.116867,47.291839,-89.88297
0.707445,1314.53,0.39084,245.116867,47.306357,-89.882881
0.710309,1314.399699,0.39084,245.116867,47.320853,-89.882791
0.713173,1314.22,0.39084,245.116867,47.335327,-89.882701
0.716037,1313.999584,0.39084,245.116867,47.349778,-89.882612
0.718901,1313.75,0.39084,245.116867,47.364208,-89.882522
0.721765,1313.489861,0.39084,245.116867,47.378615,-89.882432
0.72463,1313.260091,0.39084,245.116867,47.393001,-89.882342
0.727494,1313.060577,0.39084,245.116867,47.407365,-89.882253
0.730358,1312.89,0.39084,245.116867,47.421706,-89.882163
0.733222,1312.75,0.39084,245.116867,47.436026,-89.882073
0.736086,1312.580808,0.39084,256.688873,47.450324,-89.881983
0.73895,1312.41,0.36088,256.688873,47.464601,-89.881894
0.741814,1312.28,0.36088,256.688873,47.478856,-89.881804
0.744679,1312.17,0.36088,256.688873,47.493089,-89.881714
0.747543,1312.08,0.36088,256.688873,47.5073,-89.881624
0.750407,1312.02,0.36088,256.688873,47.52149,-89.881535
0.753271,1311.98,0.36088,256.688873,47.535659,-89.881445
0.756135,1311.97,0.36088,256.688873,47.549806,-89.881355
0.758999,1311.98,0.36088,256.688873,47.563931,-89.881265
0.761864,1312.01,0.36088,256.688873,47.578036,-89.881175
0.764728,1312.02,0.36088,256.688873,47.592119,-89.881086
0.767592,1312.020605,0.36088,256.688873,47.60618,-89.880996
0.770456,1312.17,0.36088,256.688873,47.620221,-89.880906
0.77332,1312.35,0.36088,256.688873,47.63424,-89.880816
0.776184,1312.5,0.36088,256.688873,47.648238,-89.880726
0.779048,1312.64,0.36088,256.688873,47.662216,-89.880636
0.781913,1312.771607,0.36088,256.688873,47.676172,-89.880546
0.784777,1312.891386,0.36088,256.688873,47.690107,-89.880457
0.787641,1313,0.36088,256.688873,47.704021,-89.880367
0.790505,1313.12,0.36088,256.688873,47.717914,-89.880277
0.793369,1313.28,0.36088,256.688873,47.731787,-89.880187
0.796233,1313.48,0.36088,256.688873,47.745638,-89.880097
0.799097,1313.681243,0.36088,256.688873,47.759469,-89.880007
0.801962,1313.890729,0.36088,256.688873,47.773279,-89.879917
0.804826,1314.101564,0.38752,256.688873,47.787069,-89.879827
0.80769,1314.3,0.38752,256.688873,47.800838,-89.879737
0.810554,1314.48,0.38752,256.688873,47.814586,-89.879647
0.813418,1314.671932,0.38752,256.688873,47.828314,-89.879558
0.816282,1314.860673,0.38752,256.688873,47.842021,-89.879468
0.819147,1315.07,0.38752,256.688873,47.855708,-89.879378
0.822011,1315.32,0.38752,256.688873,47.869375,-89.879288
0.824875,1315.551141,0.38752,256.688873,47.883021,-89.879198
0.827739,1315.72,0.38752,256.688873,47.896646,-89.879108
0.830603,1315.89,0.38752,256.688873,47.910252,-89.879018
0.833467,1316.05,0.38752,256.688873,47.923837,-89.878928
0.836331,1316.22,0.37476,256.688873,47.937402,-89.878838
0.839196,1316.391556,0.37476,256.688873,47.950947,-89.878748
0.84206,1316.562847,0.37476,256.688873,47.964472,-89.878658
0.844924,1316.73168,0.37476,256.688873,47.977977,-89.878568
0.847788,1316.92,0.37476,256.688873,47.991462,-89.878478
0.850652,1317.100936,0.37476,256.688873,48.004927,-89.878388
0.853516,1317.23,0.37476,256.688873,48.018372,-89.878298
0.85638,1317.3,0.37476,256.688873,48.031797,-89.878208
0.859245,1317.33,0.37476,256.688873,48.045202,-89.878118
0.862109,1317.35,0.37476,256.688873,48.058587,-89.878027
0.864973,1317.39,0.37476,256.688873,48.071953,-89.877937
0.867837,1317.41,0.37476,256.688873,48.085299,-89.877847
0.870701,1317.57,0.37276,256.688873,48.098625,-89.877757
