position,Sun Visibility 60m,lon,lat
0.594211,0.383287,43.738251,-89.694055
0.595211,0.383102,43.742522,-89.694078
0.596211,0.382914,43.746792,-89.694102
0.597211,0.382749,43.751064,-89.694126
0.598211,0.382538,43.755336,-89.69415
0.599211,0.382353,43.759609,-89.694174
0.600211,0.382185,43.763883,-89.694198
0.601211,0.381963,43.768157,-89.694221
0.602211,0.381784,43.772432,-89.694245
0.603211,0.381624,43.776707,-89.694269
0.604211,0.381427,43.780983,-89.694293
0.605211,0.381229,43.78526,-89.694317
0.606211,0.381009,43.789538,-89.69434
0.607211,0.380808,43.793816,-89.694364
0.608211,0.380525,43.798095,-89.694388
0.609211,0.380264,43.802374,-89.694412
0.610211,0.379984,43.806655,-89.694436
0.611211,0.379704,43.810935,-89.694459
0.612211,0.379408,43.815217,-89.694483
0.613211,0.379127,43.819499,-89.694507
0.614211,0.378864,43.823782,-89.694531
0.615211,0.378565,43.828066,-89.694555
0.616211,0.378292,43.83235,-89.694578
0.617211,0.378024,43.836635,-89.694602
0.618211,0.377748,43.84092,-89.694626
0.619211,0.377498,43.845206,-89.69465
0.620211,0.377204,43.849493,-89.694674
0.621211,0.376942,43.853781,-89.694697
0.622211,0.376664,43.858069,-89.694721
0.623211,0.376362,43.862358,-89.694745
0.624211,0.37609,43.866647,-89.694769
0.625211,0.375805,43.870938,-89.694792
0.626211,0.37553,43.875228,-89.694816
0.627211,0.375253,43.87952,-89.69484
0.628211,0.374956,43.883812,-89.694864
0.629211,0.374704,43.888105,-89.694888
0.630211,0.374424,43.892399,-89.694911
0.631211,0.374143,43.896693,-89.694935
0.632211,0.373854,43.900988,-89.694959
0.633211,0.37357,43.905283,-89.694983
0.634211,0.373342,43.90958,-89.695006
0.635211,0.373064,43.913876,-89.69503
0.636211,0.372784,43.918174,-89.695054
0.637211,0.372493,43.922472,-89.695078
0.638211,0.372216,43.926771,-89.695101
0.639211,0.37194,43.931071,-89.695125
0.640211,0.371642,43.935371,-89.695149
0.641211,0.371357,43.939672,-89.695173
0.642211,0.371103,43.943974,-89.695196
0.643211,0.370823,43.948276,-89.69522
0.644211,0.370543,43.952579,-89.695244
0.645211,0.370264,43.956882,-89.695268
0.646211,0.369985,43.961187,-89.695291
0.647211,0.369708,43.965492,-89.695315
0.648211,0.369449,43.969797,-89.695339
0.649211,0.369155,43.974103,-89.695363
0.650211,0.368891,43.97841,-89.695386
0.651211,0.368595,43.982718,-89.69541
0.652211,0.368326,43.987026,-89.695434
0.653211,0.368056,43.991335,-89.695457
0.654211,0.367783,43.995645,-89.695481
0.655211,0.367481,43.999955,-89.695505
0.656211,0.367223,44.004266,-89.695529
0.657211,0.366927,44.008578,-89.695552
0.658211,0.366646,44.01289,-89.695576
0.659211,0.366367,44.017203,-89.6956
0.660211,0.366105,44.021517,-89.695623
0.661211,0.365828,44.025831,-89.695647
0.662211,0.365554,44.030146,-89.695671
0.663211,0.365288,44.034462,-89.695695
0.664211,0.365024,44.038778,-89.695718
0.665211,0.364735,44.043095,-89.695742
0.666211,0.364459,44.047413,-89.695766
0.667211,0.364418,44.051731,-89.695789
0.668211,0.364558,44.05605,-89.695813
0.669211,0.364733,44.06037,-89.695837
0.670211,0.364905,44.064691,-89.695861
