position,TerrainSlope,lon,lat
0.300398,10.051425,44.480823,-89.689334
0.301398,10.478776,44.476471,-89.68931
0.302398,10.847742,44.472119,-89.689287
0.303398,10.744526,44.467768,-89.689264
0.304398,10.661604,44.463417,-89.689241
0.305398,11.116162,44.459067,-89.689218
0.306398,11.580102,44.454718,-89.689195
0.307398,11.912831,44.450369,-89.689172
0.308398,12.031388,44.446021,-89.689149
0.309398,12.066526,44.441674,-89.689126
0.310398,12.976943,44.437327,-89.689103
0.311398,14.942602,44.432981,-89.68908
0.312398,16.048015,44.428636,-89.689057
0.313398,16.031546,44.424291,-89.689034
0.314398,15.965436,44.419947,-89.689011
0.315398,16.054971,44.415604,-89.688988
0.316398,16.668798,44.411261,-89.688965
0.317398,17.038014,44.406919,-89.688942
0.318398,17.040161,44.402577,-89.688919
0.319398,17.14314,44.398236,-89.688896
0.320398,17.64997,44.393896,-89.688872
0.321398,19.070909,44.389557,-89.688849
0.322398,19.968491,44.385218,-89.688826
0.323398,20.065691,44.380879,-89.688803
0.324398,20.176749,44.376542,-89.68878
0.325398,18.990161,44.372205,-89.688757
0.326398,15.591851,44.367868,-89.688734
0.327398,13.430989,44.363533,-89.688711
0.328398,13.383842,44.359197,-89.688688
0.329398,13.261356,44.354863,-89.688665
0.330398,13.371106,44.350529,-89.688642
0.331398,13.913137,44.346196,-89.688619
0.332398,14.307462,44.341864,-89.688596
0.333398,14.337615,44.337532,-89.688572
0.334398,14.418042,44.333201,-89.688549
0.335398,13.941652,44.32887,-89.688526
0.336398,12.950062,44.32454,-89.688503
0.337398,12.335066,44.320211,-89.68848
0.338398,12.195364,44.315882,-89.688457
0.339398,12.205031,44.311554,-89.688434
0.340398,12.346117,44.307227,-89.688411
0.341398,12.508094,44.3029,-89.688388
0.342398,12.417108,44.298574,-89.688365
0.343398,12.401635,44.294248,-89.688341
0.344398,12.472478,44.289924,-89.688318
0.345398,12.621838,44.285599,-89.688295
0.346398,12.972316,44.281276,-89.688272
0.347398,13.268016,44.276953,-89.688249
0.348398,13.36727,44.272631,-89.688226
0.348479,13.375408,44.272282,-89.688224
0.349479,14.079307,44.268094,-89.688248
0.350479,14.251697,44.263904,-89.688272
0.351479,14.376868,44.259715,-89.688296
0.352479,14.580649,44.255524,-89.688319
0.353479,14.84495,44.251333,-89.688343
0.354479,15.04297,44.247142,-89.688367
0.355479,15.178907,44.242949,-89.688391
0.356479,15.386047,44.238756,-89.688415
0.357479,15.58775,44.234563,-89.688438
0.358479,15.651775,44.230368,-89.688462
0.359479,15.716641,44.226173,-89.688486
0.360479,15.847925,44.221978,-89.68851
0.361479,15.916845,44.217782,-89.688534
0.362479,15.916845,44.213585,-89.688558
0.363479,15.916845,44.209388,-89.688581
0.364479,15.977001,44.205189,-89.688605
0.365479,16.039469,44.200991,-89.688629
0.366479,15.975475,44.196791,-89.688653
0.367479,15.910154,44.192591,-89.688677
0.368479,15.909876,44.188391,-89.6887
0.369479,15.973999,44.184189,-89.688724
0.370479,16.104728,44.179987,-89.688748
0.371479,16.238867,44.175785,-89.688772
0.372479,16.371346,44.171582,-89.688796
0.373479,16.498638,44.167378,-89.688819
0.374479,16.448079,44.163173,-89.688843
0.375479,16.111618,44.158968,-89.688867
0.376479,15.437952,44.154762,-89.688891
0.377479,14.38052,44.150556,-89.688915
0.378479,13.344349,44.146349,-89.688938
0.379479,12.083785,44.142141,-89.688962
0.380479,11.240554,44.137932,-89.688986
0.381479,11.375819,44.133723,-89.68901
0.382479,11.511753,44.129514,-89.689033
0.383479,11.705675,44.125303,-89.689057
0.384479,11.940124,44.121092,-89.689081
0.385479,12.120101,44.116881,-89.689105
0.386479,12.15355,44.112669,-89.689129
0.387479,12.096532,44.108456,-89.689152
0.388479,12.066809,44.104242,-89.689176
0.389479,11.978157,44.100028,-89.6892
0.390479,11.939752,44.095813,-89.689224
0.391479,12.138042,44.091598,-89.689247
0.392479,12.483143,44.087382,-89.689271
0.393479,12.826839,44.083165,-89.689295
0.394479,13.025456,44.078947,-89.689319
0.395479,13.227422,44.074729,-89.689342
0.396479,13.498481,44.070511,-89.689366
0.397479,13.830511,44.066291,-89.68939
0.398479,14.169205,44.062071,-89.689414
0.399479,14.370695,44.057851,-89.689437
0.400479,14.573192,44.05363,-89.689461
0.401479,14.843821,44.049408,-89.689485
0.402479,15.045486,44.045185,-89.689509
0.403479,15.18022,44.040962,-89.689532
0.404479,15.378737,44.036738,-89.689556
0.405479,15.653874,44.032513,-89.68958
0.406479,15.988594,44.028288,-89.689604
0.407479,16.377515,44.024062,-89.689627
0.408479,16.708593,44.019836,-89.689651
0.409479,17.050877,44.015609,-89.689675
0.410479,17.430974,44.011381,-89.689699
0.411479,17.620185,44.007153,-89.689722
0.412479,17.6009,44.002924,-89.689746
0.413479,17.617566,43.998694,-89.68977
0.414479,17.574185,43.994464,-89.689794
0.415479,17.510714,43.990233,-89.689817
0.416479,17.378364,43.986001,-89.689841
0.417479,17.118276,43.981769,-89.689865
0.418479,16.98733,43.977536,-89.689888
0.419479,16.921362,43.973302,-89.689912
0.420479,16.740877,43.969068,-89.689936
0.421479,16.536279,43.964833,-89.68996
0.422479,16.345849,43.960598,-89.689983
0.423479,16.277308,43.956362,-89.690007
0.424479,16.236585,43.952125,-89.690031
0.425479,16.11351,43.947888,-89.690054
0.426479,16.00296,43.943649,-89.690078
0.427479,15.889564,43.939411,-89.690102
0.428479,15.760308,43.935171,-89.690126
0.429479,15.684624,43.930931,-89.690149
0.430479,15.64738,43.926691,-89.690173
0.431479,15.494728,43.922449,-89.690197
0.432479,15.285099,43.918207,-89.69022
0.433479,15.156614,43.913965,-89.690244
0.434479,14.994421,43.909721,-89.690268
0.435479,14.648699,43.905477,-89.690291
0.436479,14.214869,43.901233,-89.690315
0.437479,13.866615,43.896988,-89.690339
0.438479,13.594103,43.892742,-89.690362
0.439479,13.322376,43.888495,-89.690386
0.440479,13.342124,43.884248,-89.69041
0.441479,13.83367,43.88,-89.690434
0.442479,14.226669,43.875752,-89.690457
0.443479,14.482303,43.871502,-89.690481
0.444479,14.658364,43.867253,-89.690505
0.445479,14.892838,43.863002,-89.690528
0.446479,15.090102,43.858751,-89.690552
0.447479,15.214124,43.854499,-89.690576
0.448479,15.375226,43.850247,-89.690599
0.449479,15.486323,43.845994,-89.690623
0.450479,15.614171,43.84174,-89.690647
0.451479,15.735575,43.837486,-89.69067
0.452479,15.731719,43.833231,-89.690694
0.453479,15.695869,43.828975,-89.690718
0.454479,15.682935,43.824719,-89.690741
0.455479,15.69991,43.820462,-89.690765
0.456479,15.82974,43.816205,-89.690789
0.457479,15.801258,43.811946,-89.690812
0.458479,15.66696,43.807687,-89.690836
0.459479,15.656135,43.803428,-89.690859
0.460479,15.791307,43.799168,-89.690883
0.461479,15.918691,43.794907,-89.690907
0.462479,15.830352,43.790645,-89.69093
0.463479,15.751628,43.786383,-89.690954
0.464479,15.780819,43.78212,-89.690978
0.465479,15.851567,43.777857,-89.691001
0.466479,16.05441,43.773593,-89.691025
0.467479,16.22758,43.769328,-89.691049
0.468479,16.353598,43.765063,-89.691072
0.469479,16.371541,43.760797,-89.691096
